id,batch_id,arm_id,pi
200,13,8,0.821046
204,13,12,0.996297
208,13,16,1.0
212,14,4,0.109668
216,14,8,0.8257639999999999
220,14,12,0.9964219999999999
224,14,16,0.9999999999999999
228,15,4,0.10805799999999999
232,15,8,0.8266649999999999
236,15,12,0.9964349999999998
240,15,16,0.9999999999999998
243,16,3,0.104364
247,16,7,0.832856
251,16,11,0.986448
255,16,15,0.9999899999999999
259,17,3,0.10105
263,17,7,0.8386760000000001
267,17,11,0.9871560000000001
271,17,15,0.9999920000000002
276,18,4,0.11626900000000001
280,18,8,0.817121
284,18,12,0.9961720000000001
288,18,16,1.0
291,19,3,0.112407
295,19,7,0.8229299999999999
299,19,11,0.9854449999999999
303,19,15,0.9999909999999999
1299,82,3,0.16620100000000002
1303,82,7,0.8837919999999999
1307,82,11,0.979746
1311,82,15,0.999986
1314,83,2,0.013538
1318,83,6,0.300696
1322,83,10,0.887625
1326,83,14,0.997686
1330,84,2,0.013231999999999999
1334,84,6,0.298163
1338,84,10,0.8801
1342,84,14,0.9977539999999999
1346,85,2,0.013145
1350,85,6,0.306475
1354,85,10,0.882378
1358,85,14,0.9978060000000001
1363,86,3,0.188972
1367,86,7,0.8675160000000001
1371,86,11,0.9783270000000002
1375,86,15,0.9999870000000001
1378,87,2,0.015962
1382,87,6,0.351923
1385,87,9,0.852235
1387,87,11,0.9768979999999999
1389,87,13,0.9972369999999999
1391,87,15,0.9999759999999999
1396,88,4,0.198979
1400,88,8,0.850113
1404,88,12,0.994054
1408,88,16,0.9999999999999999
1621,112,5,0.37717
1626,112,10,0.8730400000000001
1631,112,15,0.9999900000000002
1637,113,5,0.37573
1642,113,10,0.87364
1647,113,15,1.0
1653,114,5,0.37263999999999997
1658,114,10,0.8764
1663,114,15,0.9999799999999999
1666,115,2,0.01472
1671,115,7,0.87715
1676,115,12,0.9943399999999999
1682,116,2,0.014320000000000001
1687,116,7,0.87886
1692,116,12,0.99443
1699,117,3,0.1971
1704,117,8,0.88095
1709,117,13,0.9974900000000001
1715,118,3,0.18919
1720,118,8,0.8851299999999999
1725,118,13,0.9975999999999999
1731,119,3,0.19399
1736,119,8,0.88638
1741,119,13,0.9977499999999999
1746,120,2,0.01327
1751,120,7,0.88615
1756,120,12,0.99493
1764,121,4,0.20339000000000002
1769,121,9,0.87965
1774,121,14,0.9975200000000001
1777,122,1,0.0136
1782,122,6,0.36619999999999997
1787,122,11,0.97859
1792,122,16,0.9999999999999999
1793,123,1,0.01385
1798,123,6,0.36489000000000005
1803,123,11,0.97872
1808,123,16,1.0
1811,124,3,0.19523000000000001
1816,124,8,0.8757
1821,124,13,0.99754
1827,125,3,0.1898
1832,125,8,0.8791000000000001
1837,125,13,0.9977800000000001
1843,126,3,0.20092
1848,126,8,0.88255
1853,126,13,0.99798
1859,127,3,0.21108000000000002
1864,127,8,0.88267
1869,127,13,0.9977799999999999
1876,128,4,0.20998
1881,128,9,0.8865700000000001
1886,128,14,0.9979600000000001
2614,174,6,0.34129
2619,174,11,0.97869
2624,174,16,0.9999999999999998
2629,175,5,0.33416
2634,175,10,0.8984800000000001
2639,175,15,0.99999
2641,176,1,0.01286
2646,176,6,0.31367
2651,176,11,0.9784300000000001
2656,176,16,1.0000000000000002
2659,177,3,0.20553
2664,177,8,0.89782
2669,177,13,0.9980899999999999
2675,178,3,0.20969000000000002
2680,178,8,0.91476
2685,178,13,0.99787
2693,179,5,0.34166
2698,179,10,0.90708
2703,179,15,0.99999
2707,180,3,0.22129
2712,180,8,0.9084
2717,180,13,0.9976
2721,181,1,0.01404
2732,181,12,0.9953100000000001
2737,182,1,0.01411
2742,182,6,0.34759
2747,182,11,0.97662
2752,182,16,1.0000000000000002
2756,183,4,0.24235
2761,183,9,0.9143700000000001
2766,183,14,0.9979800000000002
2772,184,4,0.23759000000000002
2777,184,9,0.91748
2782,184,14,0.9981699999999999
2785,185,1,0.01228
2790,185,6,0.34389000000000003
2795,185,11,0.9797
162,11,2,0.006862
166,11,6,0.15472400000000003
170,11,10,0.8644310000000002
174,11,14,0.9988990000000001
177,12,1,0.008385
181,12,5,0.18057299999999998
185,12,9,0.842848
189,12,13,0.998598
193,13,1,0.010094
197,13,5,0.208303
201,13,9,0.822049
205,13,13,0.998278
209,14,1,0.009644
213,14,5,0.201633
217,14,9,0.826691
221,14,13,0.9982629999999999
226,15,2,0.009706
230,15,6,0.20685199999999998
